id,value
Collection,
Collection.Artists,
Collection.Genres,
Collection.Musical-Groups,
Collection.Distributors,
Collection.Records,
Collection.Genres.RockMusic,300
Collection.Genres.PopularMusic,302
Collection.Genres.DiscoMusic,304
Collection.Genres.Rap,306
Collection.Genres.MotionPictureMusic,308
Collection.Genres.DanceOrchestraMusic,310
Collection.Genres.SoulMusic,312
Collection.Genres.Funk,314
Collection.Genres.Jazz,316
Collection.Genres.InstrumentalMusic,318
Collection.Genres.Reggaemusic,320
Collection.Genres.Percussionmusic,322
Collection.Genres.DrumMusic,324
Collection.Genres.Countryswing,326
Collection.Genres.Steelbandmusic,328
Collection.Genres.TelevisionMusic,330
Collection.Genres.Salsa,332
Collection.Records.Rumours,300
Collection.Artists.FleetwoodMac,302
Collection.Musical-Groups.FleetwoodMac,304
Collection.Distributors.WarnerBros,306
Collection.Records.LoveMoney,308
Collection.Artists.FunkMasters,310
Collection.Distributors.TaniaMusic,312
Collection.Records.VoicesInsideMyHead,314
Collection.Artists.CommonSense,316
Collection.Distributors.BCRecords,318
Collection.Records.NothingEverChanges,320
Collection.Artists.CosmicTouch,322
Collection.Musical-Groups.CosmicTouch,324
Collection.Distributors.SeriousGold,326
Collection.Records.Boogiebeat,328
Collection.Artists.Uno,330
Collection.Musical-Groups.Uno,332
Collection.Distributors.TryonPark,334
Collection.Records.TheSoundOfYoungNewYork,336
Collection.Distributors.CBSAssociatedRecords,338
Collection.Records.Supersound,340
Collection.Artists.TheJimmyCastorBunch,342
Collection.Distributors.Atlantic,344
Collection.Records.Yamama,346
Collection.Artists.WUFTicket,348
Collection.Musical-Groups.WUFTicket,350
Collection.Distributors.PreludeRecords,352
Collection.Records.TheClash,354
Collection.Distributors.Epic,356
Collection.Records.Wattstax,358
Collection.Distributors.Stax,360
Collection.Records.BlindOverYou,362
Collection.Artists.ChicagoGangsters,364
Collection.Distributors.GoldPlate,366
Collection.Records.KneeDeep,368
Collection.Artists.HerbieHancock,370
Collection.Distributors.Columbia,372
Collection.Records.Freelive,374
Collection.Artists.Free,376
Collection.Distributors.AAndMRecords,378
Collection.Records.IllCastMyFateToTheWind,380
Collection.Artists.BySnapsMontigo,382
Collection.Distributors.TuneWizard,384
Collection.Records.FunkyPunk,386
Collection.Artists.Dillinger,388
Collection.Distributors.JamaicaSound,390
Collection.Records.TakeALickInAndKeepOnKickin,392
Collection.Artists.BootsyCollins,394
Collection.Records.JungleJezebel,396
Collection.Artists.Divine,398
Collection.Distributors.ORecords,400
Collection.Records.TimeIsRunningOut,402
Collection.Artists.EddieAndTheMovements,404
Collection.Distributors.TruckerManRecords,406
Collection.Records.YouBeYouAndIBeMe,408
Collection.Artists.BeatmasterClayD,410
Collection.Distributors.Vision,412
Collection.Records.Record19,414
Collection.Distributors.DeLite,416
Collection.Records.Prototype,418
Collection.Artists.Supafly,420
Collection.Distributors.VibezRecordings,422
Collection.Records.Koochy,424
Collection.Artists.GaryNuman,426
Collection.Distributors.ArmedRecords,428
Collection.Records.Lightsout,430
Collection.Artists.PeterWolf,432
Collection.Distributors.EMIAmerica,434
Collection.Records.Record23,436
Collection.Distributors.Polydor,438
Collection.Records.Toohottohandle,440
Collection.Artists.Heatwave,442
Collection.Records.PointOfNoReturn,444
Collection.Artists.XPosed,446
Collection.Distributors.PanteraRecords,448
Collection.Records.Brotherhood,450
Collection.Artists.TheHarveyAverneBand,452
Collection.Distributors.FaniaRecords,454
Collection.Records.TheClonesofDrFunkenstein,456
Collection.Artists.Parliament,458
Collection.Distributors.Casablanca,460
Collection.Records.GoForItSucker,462
Collection.Artists.RGsAllNiteFunkBand,464
Collection.Distributors.HotTrax,466
Collection.Records.MatrixOfCompassion,468
Collection.Artists.TheMen,470
Collection.Records.Whatisit,472
Collection.Artists.SOUL,474
Collection.Musical-Groups.SOUL,476
Collection.Distributors.BeatGoesPublic,478
Collection.Records.RockingAndswing,480
Collection.Artists.GeneralEcho,482
Collection.Distributors.Manzie,484
Collection.Records.TheJimmyCastorStory,486
Collection.Artists.JimmyCastorBunch,488
Collection.Distributors.PaulWinleyRecords,490
Collection.Records.Inharmony,492
Collection.Artists.WeldonIrvine,494
Collection.Distributors.Strata-East,496
Collection.Records.Masfever,498
Collection.Artists.CalypsoRose,500
Collection.Distributors.CLORecords,502
Collection.Records.KingdomOfMadness,504
Collection.Artists.Magnum,506
Collection.Musical-Groups.Magnum,508
Collection.Distributors.JetRecords,510
Collection.Records.BabyWontYouChangeYourMind,512
Collection.Artists.BlackIvory,514
Collection.Musical-Groups.BlackIvory,516
Collection.Distributors.TodayRecords,518
Collection.Records.FunkyAndTough,520
Collection.Artists.FAT,522
Collection.Musical-Groups.FAT,524
Collection.Distributors.BoldRecords,526
Collection.Records.Record38,528
Collection.Distributors.GeneralRecordCorp,530
Collection.Records.GiveMeYourLove,532
Collection.Artists.SylviaStriplin,534
Collection.Distributors.UnoMelodicRecords,536
Collection.Records.TheWalk,538
Collection.Artists.ChuckHigginsAndtheWildBunch,540
Collection.Distributors.PhDRecordsandTapes,542
Collection.Records.ThefunkyBroadway,544
Collection.Artists.DykeandtheBlazers,546
Collection.Distributors.OriginalSound,548
Collection.Records.DrumDrops,550
Collection.Artists.JoeyDVieira,552
Collection.Distributors.DrumDrops,554
Collection.Records.NassauDay,556
Collection.Artists.RonnieFoster,558
Collection.Records.ThereturnofLeroy,560
Collection.Artists.JimmyCastor,562
Collection.Distributors.DreamRecords,564
Collection.Records.WhenPushComesToShove,566
Collection.Artists.Maga,568
Collection.Distributors.ParisInternationalRecords,570
Collection.Records.TheLollipopman,572
Collection.Artists.Sylvia,574
Collection.Distributors.Vibration,576
Collection.Records.Blacksabbath,578
Collection.Artists.BlackSabbath,580
Collection.Musical-Groups.BlackSabbath,582
Collection.Records.Record48,584
Collection.Records.LovingExplosion,586
Collection.Artists.TheEliminators,588
Collection.Distributors.BRC,590
Collection.Records.MagicDiscoMachine,592
Collection.Artists.Discotech,594
Collection.Musical-Groups.Discotech,596
Collection.Distributors.Motown,598
Collection.Records.Straightup,600
Collection.Artists.Exit9,602
Collection.Musical-Groups.Exit9,604
Collection.Records.Malik,606
Collection.Artists.LafayetteAfroRockBand,608
Collection.Distributors.Makossa,610
Collection.Records.StonedSoulPicnic,612
Collection.Artists.TheFifthDimension,614
Collection.Musical-Groups.FifthDimension,616
Collection.Distributors.SoulCity,618
Collection.Records.OverAndOver,620
Collection.Artists.Torill,622
Collection.Distributors.AVIRecords,624
Collection.Records.GreatestHits,626
Collection.Artists.JimiHendrix,628
Collection.Records.Record56,630
Collection.Distributors.Greensleeves,632
Collection.Records.HereAmI,634
Collection.Artists.DaveCrawford,636
Collection.Distributors.DavidCrawford,638
Collection.Records.Osmium,640
Collection.Distributors.Invictus,642
Collection.Records.Record59,644
Collection.Musical-Groups.DirectCurrent,646
Collection.Distributors.TECRecords,648
Collection.Records.Record60,650
Collection.Distributors.CapitolRecords,652
Collection.Records.Record61,654
Collection.Distributors.Sugarscoop,656
Collection.Records.Record62,658
Collection.Distributors.SweetMountainRecords,660
Collection.Records.DoctorJackyllAndMisterFunk,662
Collection.Artists.JackieMcLean,664
Collection.Distributors.RCA,666
Collection.Records.Record64,668
Collection.Distributors.AAndM,670
Collection.Records.MagicTrick,672
Collection.Artists.OhioPlayers,674
Collection.Distributors.Mercury,676
Collection.Records.JumpOnIt,678
Collection.Records.HeartBeatOfTheCongo,680
Collection.Artists.OnagoandMuanaAndTheNativeDrummers,682
Collection.Distributors.TwentiethFox,684
Collection.Records.GiveYourBodyUpToTheMusic,686
Collection.Artists.BillyNichols,688
Collection.Distributors.WestEnd,690
Collection.Records.Cruisin,692
Collection.Artists.MichaelNesmith,694
Collection.Distributors.PacificArts,696
Collection.Records.FunkBeTheFlavour,698
Collection.Artists.Nookie,700
Collection.Distributors.UrbanCulture,702
Collection.Records.BabyNotTonight,704
Collection.Artists.Madagascar,706
Collection.Distributors.Arista,708
Collection.Records.WeThePeople,710
Collection.Artists.SoulSearchers,712
Collection.Distributors.Sussex,714
Collection.Records.Drumdrops,716
Collection.Artists.JoeyVieira,718
Collection.Distributors.MusicTreeCorp,720
Collection.Records.TSOP,722
Collection.Artists.MFSB,724
Collection.Distributors.PhiladelphiaInternationalRecords,726
Collection.Records.SomethingNew,728
Collection.Artists.FearlessFour,730
Collection.Musical-Groups.FearlessFour,732
Collection.Distributors.Elektra,734
Collection.Records.LivingOrnaments,736
Collection.Distributors.BeggarsBanquet,738
Collection.Records.KeepOnDancing,740
Collection.Artists.NashvilleRhythmSection,742
Collection.Musical-Groups.NashvilleRhythmSection,744
Collection.Distributors.KoalaSilverBear,746
Collection.Records.WarmHeartColdSteel,748
Collection.Artists.TwentiethCenturySteelBand,750
Collection.Musical-Groups.TwentiethCenturySteelBand,752
Collection.Distributors.UnitedArtistsRecords,754
Collection.Records.InSearchOfOrchestra,756
Collection.Artists.InSearchOf,758
Collection.Records.LoveYouLive,760
Collection.Artists.TheRollingStones,762
Collection.Musical-Groups.RollingStones,764
Collection.Distributors.RollingStones,766
Collection.Records.NoNoNo,768
Collection.Artists.YookoOno,770
Collection.Distributors.GeffenRecords,772
Collection.Artists.ThePolice,774
Collection.Records.ItFeelsSoGood,776
Collection.Artists.WeltonIrie,778
Collection.Distributors.JoeGibbsMusic,780
Collection.Records.CanYouFeelIt,782
Collection.Artists.RhythmMakers,784
Collection.Distributors.VigorRecords,786
Collection.Records.JosephineSuperstar,788
Collection.Artists.PhyliciaAllen,790
Collection.Records.DamnSamTheMiracleMan,792
Collection.Artists.DamnSamTheMiracleMan,794
Collection.Distributors.TaySter,796
Collection.Records.Cuba,798
Collection.Musical-Groups.GibsonBrothers,800
Collection.Distributors.MangoRecords,802
Collection.Records.Record88,804
Collection.Records.Record89,806
Collection.Distributors.Hilda,808
Collection.Records.TotalExtreme,810
Collection.Artists.TheWBs,812
Collection.Distributors.RoadRageRecords,814
